date,tad,group,time,vol,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,singles,doubles,ratio
181214,1,Control,1722,0.2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,8,7,0.8750
181214,2,Low,1732,0.2,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,5,2,0.4000
181214,3,High,1743,0.2,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,7,8,1.1429
181214,4,Control,1753,0.2,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,6,4,0.6667
181214,5,Low,1803,0.2,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,4,6,1.5000
181214,6,High,1814,0.2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2.0000
181214,7,Control,1822,0.2,1,0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,6,5,0.8333
181214,8,Low,1832,0.2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,3,1,0.3333
181214,9,High,1842,0.2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,1,0.5000
181214,10,Control,1851,0.2,1,1,0,0,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,0,5,6,1.2000
181214,11,Low,1901,0.2,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,5,1,0.2000
181214,12,High,1911,0.2,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,7,5,0.7143
181214,13,Control,2001,0.2,1,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,7,5,0.7143
181214,14,Low,2011,0.2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,4,1,0.2500
181214,15,High,2021,0.2,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,1,5,9,1.8000
181214,16,Control,2031,0.2,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,5,6,1.2000
181214,17,Low,2041,0.2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,2,6,3.0000
181214,18,High,2051,0.2,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,2,2,1.0000
181214,19,Control,1343,0.2,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,0,1,1,7,7,1.0000
181215,20,Low,1357,0.2,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,3,3,1.0000
181215,21,High,1408,0.2,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,6,4,0.6667
181215,22,Control,1418,0.2,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,7,4,0.5714
181215,23,Low,1429,0.2,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,4,3,0.7500
181215,24,High,1444,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,1.0000
181215,25,Control,1456,0.2,1,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,6,3,0.5000
181215,26,Low,1506,0.2,1,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,1,8,3,0.3750
181215,27,High,1507,0.2,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,2,6,3.0000
181215,28,Control,1653,0.2,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,5,5,1.0000
181215,29,Low,1703,0.2,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,3.0000
181215,30,High,1714,0.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,1,0.3333
181215,31,Control,1724,0.2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,5,2,0.4000
181215,32,Low,1734,0.2,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,5,3,0.6000
181215,33,High,1744,0.2,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,0,5,3,0.6000
181215,34,Control,1754,0.2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,5.0000
181215,35,Low,1805,0.2,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,6,3,0.5000
181129,36,High,1815,0.2,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,8,6,0.7500
181129,37,Control,1827,0.2,1,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,1,1,0,0,6,4,0.6667
181129,38,Low,1840,0.2,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,7,7,1.0000
181129,39,High,1850,0.2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,3.0000
181129,40,Control,1900,0.2,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,4,4,1.0000
181129,41,Low,1911,0.2,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,4,5,1.2500
181128,52,Control,1800,0.2,1,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,6,3,0.5000
181128,53,Low,1823,0.2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1.0000
181128,54,High,1835,0.2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,4,1,0.2500
181128,55,Control,1848,0.2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0.5000
181128,56,Low,1925,0.2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,2,1.0000
181128,57,High,1933,0.2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2.0000
181128,58,Control,1944,0.2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,3,1.5000
181128,59,Low,1954,0.2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,1,0.3333
181128,60,High,2004,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.0000
181128,61,Control,2014,0.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,2,2.0000
181128,62,Low,2024,0.2,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,6,1,0.1667
181128,63,High,2036,0.2,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,6,3,0.5000
181128,64,Control,2051,0.2,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0.3333
181128,65,Low,2101,0.2,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,1,0.2000
181128,66,High,2110,0.2,1,0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,0,7,6,0.8571
181128,67,Control,2124,0.2,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,6,0,0.0000
181128,68,Low,2135,0.2,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,5,3,0.6000
181128,69,High,2144,0.2,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,3,1.5000
181128,70,Control,2152,0.2,0,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,6,5,0.8333
181128,71,Low,2204,0.2,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,6,6,1.0000
181128,72,High,2215,0.2,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,5,2.5000
181128,73,Control,1216,0.2,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,4,1,0.2500
181129,74,Low,1230,0.2,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,5,4,0.8000
181129,75,High,1242,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1.0000
181129,76,Control,1252,0.2,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,4,3,0.7500
181129,77,Low,1303,0.2,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,8,1,0.1250
181129,78,High,1315,0.2,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,6,3,0.5000
181129,79,Control,1326,0.2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0.0000
181129,80,Low,1336,0.2,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1,0.2000
181129,81,High,1347,0.2,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,7,5,0.7143
181129,82,Control,1357,0.2,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,5,3,0.6000
181129,83,Low,1407,0.2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,0,5,5,1.0000
181129,84,High,1431,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0000
181129,85,Control,1441,0.2,0,1,0,0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,6,5,0.8333
181129,86,Low,1644,0.2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,2,0.4000
181129,87,High,1655,0.2,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,7,3,0.4286
181129,88,Control,1706,0.2,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,7,5,0.7143
181129,89,Low,1716,0.2,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,4,5,1.2500
181129,90,High,1725,0.2,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,4,2,0.5000
181129,91,Control,1856,0.2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0.3333
181129,92,Low,1911,0.2,1,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,7,1,0.1429
181129,93,High,1921,0.2,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,3,3,1.0000
181129,94,Control,1932,0.2,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,6,4,0.6667
181129,95,Low,1941,0.2,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,0.2500
181129,96,High,1959,0.2,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,4,4,1.0000
181129,97,Control,2010,0.2,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,4,2.0000
181129,98,Low,2020,0.2,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,7,3,0.4286
181129,99,High,1931,0.2,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,3,1.0000
181129,100,Control,1942,0.2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,2.0000
181129,101,Low,2003,0.2,1,1,1,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,8,2,0.2500
181129,102,High,2013,0.2,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0.4000